App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Gloomhaven,Strategy,4.40995,37098,120,37098,Strategy,2017,Strategy,Strategy,1,4,14,1
Pandemic Legacy: Season 1,Strategy,4.310145,38384,60,38384,Strategy,2015,Strategy,Strategy,2,4,13,2
Brass: Birmingham,Strategy,4.319065,14568,120,14568,Strategy,2018,Strategy,Strategy,2,4,14,3
Terraforming Mars,Strategy,4.21543,57395,120,57395,Strategy,2016,Strategy,Strategy,1,5,12,4
Twilight Imperium (Fourth Edition),Strategy,4.34393,11482,480,11482,Strategy,2017,Strategy,Strategy,3,6,14,5
Through the Ages: A New Story of Civilization,Strategy,4.22661,21064,120,21064,Strategy,2015,Strategy,Strategy,2,4,14,6
Gaia Project,Strategy,4.24873,14291,150,14291,Strategy,2017,Strategy,Strategy,1,4,12,7
Star Wars: Rebellion,Strategy,4.210935,21100,240,21100,Strategy,2016,Strategy,Strategy,2,4,14,8
Twilight Struggle,Strategy,4.15105,38886,180,38886,Strategy,2005,Strategy,Strategy,2,2,13,9
Great Western Trail,Strategy,4.14526,26390,150,26390,Strategy,2016,Strategy,Strategy,2,4,12,10
Scythe,Strategy,4.12448,52527,115,52527,Strategy,2016,Strategy,Strategy,1,5,14,11
War of the Ring: Second Edition,Thematic,4.23386,12448,180,12448,Thematic,2012,Thematic,Thematic,2,4,13,12
Spirit Island,Strategy,4.160405,20776,120,20776,Strategy,2017,Strategy,Strategy,1,4,13,13
The Castles of Burgundy,Strategy,4.065625,43541,90,43541,Strategy,2011,Strategy,Strategy,2,4,12,14
Terra Mystica,Strategy,4.079125,37287,150,37287,Strategy,2012,Strategy,Strategy,2,5,12,15
7 Wonders Duel,Strategy,4.051555,53541,30,53541,Strategy,2015,Strategy,Strategy,2,2,10,16
Concordia,Strategy,4.05927,25724,100,25724,Strategy,2013,Strategy,Strategy,2,5,13,17
Brass: Lancashire,Strategy,4.0795,18149,120,18149,Strategy,2007,Strategy,Strategy,2,4,14,18
Arkham Horror: The Card Game,Thematic,4.09439,25078,120,25078,Thematic,2016,Thematic,Thematic,1,2,14,19
Wingspan,Strategy,4.05566,32808,70,32808,Strategy,2019,Strategy,Strategy,1,5,10,20
Viticulture Essential Edition,Strategy,4.04861,25752,90,25752,Strategy,2015,Strategy,Strategy,1,6,13,21
A Feast for Odin,Strategy,4.09104,15442,120,15442,Strategy,2016,Strategy,Strategy,1,4,12,22
The 7th Continent,Thematic,4.127425,14958,1000,14958,Thematic,2017,Thematic,Thematic,1,4,14,23
Orléans,Strategy,4.04241,20196,90,20196,Strategy,2014,Strategy,Strategy,2,4,12,24
Mage Knight Board Game,Strategy,4.051215,26612,240,26612,Strategy,2011,Strategy,Strategy,1,4,14,25
Puerto Rico,Strategy,4.003065,61164,150,61164,Strategy,2002,Strategy,Strategy,3,5,12,26
Caverna: The Cave Farmers,Strategy,4.016825,26745,210,26745,Strategy,2013,Strategy,Strategy,1,7,12,27
Food Chain Magnate,Strategy,4.07773,12730,240,12730,Strategy,2015,Strategy,Strategy,2,5,14,28
Agricola,Strategy,3.97949,61565,150,61565,Strategy,2007,Strategy,Strategy,1,5,12,29
Nemesis,Thematic,4.218355,9279,180,9279,Thematic,2018,Thematic,Thematic,1,5,12,30
Mansions of Madness: Second Edition,Thematic,4.041065,22580,180,22580,Thematic,2016,Thematic,Thematic,1,5,14,31
Blood Rage,Strategy,4.00117,31466,90,31466,Strategy,2015,Strategy,Strategy,2,4,14,32
Pandemic Legacy: Season 2,Strategy,4.090265,10614,60,10614,Strategy,2017,Strategy,Strategy,2,4,14,33
Root,Strategy,4.03997,18949,90,18949,Strategy,2018,Strategy,Strategy,2,4,10,34
Kingdom Death: Monster,Thematic,4.35145,7127,180,7127,Thematic,2015,Thematic,Thematic,1,4,17,35
Power Grid,Strategy,3.933445,54426,120,54426,Strategy,2004,Strategy,Strategy,2,6,12,36
Tzolk'in: The Mayan Calendar,Strategy,3.953585,28793,90,28793,Strategy,2012,Strategy,Strategy,2,4,13,37
Mechs vs. Minions,Strategy,4.033005,13208,120,13208,Strategy,2016,Strategy,Strategy,2,4,14,38
Star Wars: Imperial Assault,Thematic,4.017805,19395,120,19395,Thematic,2014,Thematic,Thematic,1,5,14,39
Everdell,Strategy,4.030845,14489,80,14489,Strategy,2018,Strategy,Strategy,1,4,13,40
Through the Ages: A Story of Civilization,Strategy,3.97461,17686,120,17686,Strategy,2006,Strategy,Strategy,2,4,12,41
Clans of Caledonia,Strategy,4.011555,13188,120,13188,Strategy,2017,Strategy,Strategy,1,4,12,42
Le Havre,Strategy,3.936115,25444,150,25444,Strategy,2008,Strategy,Strategy,1,5,12,43
Eclipse,Strategy,3.95345,25550,180,25550,Strategy,2011,Strategy,Strategy,2,6,14,44
Azul,Family,3.92304,46250,45,46250,Family,2017,Family,Family,2,4,8,45
The Voyages of Marco Polo,Strategy,3.95132,18675,100,18675,Strategy,2015,Strategy,Strategy,2,4,12,46
Robinson Crusoe: Adventures on the Cursed Island,Thematic,3.930435,31776,120,31776,Thematic,2012,Thematic,Thematic,1,4,14,47
Anachrony,Strategy,4.04007,10142,120,10142,Strategy,2017,Strategy,Strategy,1,4,15,48
Android: Netrunner,Uncategorized,3.938665,26004,45,26004,Uncategorized,2012,Uncategorized,Uncategorized,2,2,14,49
Underwater Cities,Strategy,4.058,7590,150,7590,Strategy,2018,Strategy,Strategy,1,4,12,50
7 Wonders,Strategy,3.880245,79873,30,79873,Strategy,2010,Strategy,Strategy,2,7,10,51
Race for the Galaxy,Strategy,3.88025,44585,60,44585,Strategy,2007,Strategy,Strategy,2,4,12,52
The Gallerist,Strategy,4.01656,8933,150,8933,Strategy,2015,Strategy,Strategy,1,4,13,53
Fields of Arle,Strategy,4.046305,7416,120,7416,Strategy,2014,Strategy,Strategy,1,2,13,54
Dominant Species,Strategy,3.92315,17365,240,17365,Strategy,2010,Strategy,Strategy,2,6,14,55
Keyflower,Strategy,3.91107,18071,120,18071,Strategy,2012,Strategy,Strategy,2,6,12,56
Too Many Bones,Strategy,4.224185,4884,120,4884,Strategy,2017,Strategy,Strategy,1,4,12,57
Five Tribes,Strategy,3.889315,30359,80,30359,Strategy,2014,Strategy,Strategy,2,4,13,58
Lords of Waterdeep,Strategy,3.878065,43734,120,43734,Strategy,2012,Strategy,Strategy,2,5,12,59
Teotihuacan: City of Gods,Strategy,3.98275,10773,120,10773,Strategy,2018,Strategy,Strategy,1,4,14,60
Clank!: A Deck-Building Adventure,Strategy,3.903355,24714,60,24714,Strategy,2016,Strategy,Strategy,2,4,12,61
Caylus,Strategy,3.891435,26181,150,26181,Strategy,2005,Strategy,Strategy,2,5,12,62
Maracaibo,Strategy,4.16676,4717,120,4717,Strategy,2019,Strategy,Strategy,1,4,12,63
Marvel Champions: The Card Game,Uncategorized,4.12149,6686,90,6686,Uncategorized,2019,Uncategorized,Uncategorized,1,4,14,64
Lisboa,Strategy,4.0877,5935,120,5935,Strategy,2017,Strategy,Strategy,1,4,12,65
El Grande,Strategy,3.88045,22865,120,22865,Strategy,1995,Strategy,Strategy,2,5,12,66
Twilight Imperium (Third Edition),Strategy,3.92368,17989,240,17989,Strategy,2005,Strategy,Strategy,3,6,14,67
Crokinole,Family,3.93287,11249,30,11249,Family,1876,Family,Family,2,4,8,68
Agricola (Revised Edition),Strategy,4.029865,7991,120,7991,Strategy,2016,Strategy,Strategy,1,4,12,69
Rising Sun,Strategy,3.95183,14446,120,14446,Strategy,2018,Strategy,Strategy,3,5,14,70
Eldritch Horror,Thematic,3.910625,27746,240,27746,Thematic,2013,Thematic,Thematic,1,8,14,71
Mombasa,Strategy,3.949985,10360,150,10360,Strategy,2015,Strategy,Strategy,2,4,12,72
Dominion: Intrigue,Strategy,3.86355,29221,30,29221,Strategy,2009,Strategy,Strategy,2,4,13,73
Aeon's End,Strategy,4.00801,8732,60,8732,Strategy,2016,Strategy,Strategy,1,4,14,74
Battlestar Galactica: The Board Game,Thematic,3.871115,32011,180,32011,Thematic,2008,Thematic,Thematic,3,6,14,75
The Quacks of Quedlinburg,Family,3.89745,16817,45,16817,Family,2018,Family,Family,2,4,10,76
Architects of the West Kingdom,Strategy,3.922965,13849,80,13849,Strategy,2018,Strategy,Strategy,1,5,12,77
Troyes,Strategy,3.88119,17610,90,17610,Strategy,2010,Strategy,Strategy,2,4,12,78
Patchwork,Family,3.833635,42301,30,42301,Family,2014,Family,Family,2,2,8,79
Codenames,Party,3.81903,62582,15,62582,Party,2015,Party,Party,2,8,14,80
Russian Railroads,Strategy,3.88915,14047,120,14047,Strategy,2013,Strategy,Strategy,2,4,12,81
On Mars,Strategy,4.17732,4259,150,4259,Strategy,2020,Strategy,Strategy,1,4,14,82
Raiders of the North Sea,Strategy,3.89966,13962,80,13962,Strategy,2015,Strategy,Strategy,2,4,12,83
Roll for the Galaxy,Strategy,3.84365,24804,45,24804,Strategy,2014,Strategy,Strategy,2,5,13,84
Tigris & Euphrates,Strategy,3.84826,24654,90,24654,Strategy,1997,Strategy,Strategy,2,4,12,85
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Thematic,3.877755,16027,120,16027,Thematic,1982,Thematic,Thematic,1,8,13,86
Trajan,Strategy,3.885115,14139,120,14139,Strategy,2011,Strategy,Strategy,2,4,12,87
The Crew: The Quest for Planet Nine,Strategy,4.03156,5946,20,5946,Strategy,2019,Strategy,Strategy,2,5,10,88
Dominion,Strategy,3.813355,74959,30,74959,Strategy,2008,Strategy,Strategy,2,4,13,89
Paladins of the West Kingdom,Strategy,4.051405,5677,120,5677,Strategy,2019,Strategy,Strategy,1,4,12,90
Pandemic,Strategy,3.807835,96241,45,96241,Strategy,2008,Strategy,Strategy,2,4,8,91
Pandemic: Iberia,Strategy,3.97007,7775,45,7775,Strategy,2016,Strategy,Strategy,2,5,8,92
Grand Austria Hotel,Strategy,3.899375,11032,120,11032,Strategy,2015,Strategy,Strategy,2,4,12,93
Kemet,Strategy,3.861445,15479,120,15479,Strategy,2012,Strategy,Strategy,2,5,13,94
Champions of Midgard,Strategy,3.892255,12075,90,12075,Strategy,2015,Strategy,Strategy,2,4,10,95
Lorenzo il Magnifico,Strategy,3.944485,8007,120,8007,Strategy,2016,Strategy,Strategy,2,4,12,96
The Lord of the Rings: Journeys in Middle-earth,Thematic,4.049045,6697,120,6697,Thematic,2019,Thematic,Thematic,1,5,14,97
Yokohama,Strategy,3.932525,7954,90,7954,Strategy,2016,Strategy,Strategy,2,4,14,98
Star Wars: X-Wing Miniatures Game,Uncategorized,3.85282,22463,45,22463,Uncategorized,2012,Uncategorized,Uncategorized,2,2,14,99
Forbidden Stars,Strategy,3.983495,7113,180,7113,Strategy,2015,Strategy,Strategy,2,4,14,100
Clank! In! Space!: A Deck-Building Adventure,Strategy,3.937705,7914,90,7914,Strategy,2017,Strategy,Strategy,2,4,12,101
Stone Age,Strategy,3.787705,43051,90,43051,Strategy,2008,Strategy,Strategy,2,4,10,102
Alchemists,Strategy,3.840165,17274,120,17274,Strategy,2014,Strategy,Strategy,2,4,13,103
Inis,Strategy,3.89378,11385,90,11385,Strategy,2016,Strategy,Strategy,2,4,14,104
Descent: Journeys in the Dark (Second Edition),Thematic,3.85042,21859,120,21859,Thematic,2012,Thematic,Thematic,1,5,14,105
Decrypto,Party,3.893235,9672,45,9672,Party,2018,Party,Party,3,8,12,106
Dead of Winter: A Crossroads Game,Thematic,3.79977,37607,120,37607,Thematic,2014,Thematic,Thematic,2,5,13,107
Star Realms,Strategy,3.795635,33905,20,33905,Strategy,2014,Strategy,Strategy,2,2,12,108
Legendary Encounters: An Alien Deck Building Game,Thematic,3.89034,10640,60,10640,Thematic,2014,Thematic,Thematic,1,5,17,109
Istanbul,Strategy,3.795545,23682,60,23682,Strategy,2014,Strategy,Strategy,2,5,10,110
Clank! Legacy: Acquisitions Incorporated,Thematic,4.433665,2138,120,2138,Thematic,2019,Thematic,Thematic,2,4,13,111
Endeavor: Age of Sail,Strategy,4.02498,5415,90,5415,Strategy,2018,Strategy,Strategy,2,5,13,112
War of the Ring,Thematic,3.885305,9772,120,9772,Thematic,2004,Thematic,Thematic,2,4,12,113
Ticket to Ride: Europe,Family,3.775475,54799,60,54799,Family,2005,Family,Family,2,5,8,114
Vinhos Deluxe Edition,Strategy,4.11244,3745,135,3745,Strategy,2016,Strategy,Strategy,1,4,14,115
Chaos in the Old World,Strategy,3.83801,13971,120,13971,Strategy,2009,Strategy,Strategy,3,4,13,116
T.I.M.E Stories,Thematic,3.800615,22506,90,22506,Thematic,2015,Thematic,Thematic,2,4,12,117
The Resistance: Avalon,Party,3.79563,25837,30,25837,Party,2012,Party,Party,5,10,13,118
Age of Steam,Strategy,3.879855,8431,120,8431,Strategy,2002,Strategy,Strategy,1,6,13,119
Chronicles of Crime,Thematic,3.9307,11686,90,11686,Thematic,2018,Thematic,Thematic,1,4,14,120
A Game of Thrones: The Board Game (Second Edition),Strategy,3.809085,27367,240,27367,Strategy,2011,Strategy,Strategy,3,6,14,121
Welcome To...,Family,3.820175,13939,25,13939,Family,2018,Family,Family,1,100,10,122
Castles of Mad King Ludwig,Strategy,3.787975,21177,90,21177,Strategy,2014,Strategy,Strategy,1,4,13,123
Railways of the World,Strategy,3.846125,10881,120,10881,Strategy,2005,Strategy,Strategy,2,6,10,124
Dinosaur Island,Strategy,3.88154,10010,120,10010,Strategy,2017,Strategy,Strategy,1,4,8,125
Barrage,Strategy,4.057185,4219,120,4219,Strategy,2019,Strategy,Strategy,1,4,14,126
Tainted Grail: The Fall of Avalon,Thematic,4.3209,3502,120,3502,Thematic,2019,Thematic,Thematic,1,4,14,127
Trickerion: Legends of Illusion,Strategy,3.94752,6213,180,6213,Strategy,2015,Strategy,Strategy,2,4,14,128
Targi,Strategy,3.819875,12516,60,12516,Strategy,2012,Strategy,Strategy,2,2,12,129
The Lord of the Rings: The Card Game,Uncategorized,3.819835,20012,60,20012,Uncategorized,2011,Uncategorized,Uncategorized,1,2,13,130
Ora et Labora,Strategy,3.85252,9487,180,9487,Strategy,2011,Strategy,Strategy,1,4,13,131
Jaipur,Family,3.755625,34183,30,34183,Family,2009,Family,Family,2,2,12,132
Commands & Colors: Ancients,Uncategorized,3.89161,7835,60,7835,Uncategorized,2006,Uncategorized,Uncategorized,2,2,12,133
Memoir '44,Uncategorized,3.780065,24765,60,24765,Uncategorized,2004,Uncategorized,Uncategorized,2,8,8,134
Hansa Teutonica,Strategy,3.822995,11113,90,11113,Strategy,2009,Strategy,Strategy,2,5,12,135
That's Pretty Clever!,Family,3.825525,11915,30,11915,Family,2018,Family,Family,1,4,8,136
Suburbia,Strategy,3.765435,20874,90,20874,Strategy,2012,Strategy,Strategy,1,4,8,137
Cosmic Encounter,Strategy,3.7719,26341,120,26341,Strategy,2008,Strategy,Strategy,3,5,12,138
Nations,Strategy,3.82583,10865,200,10865,Strategy,2013,Strategy,Strategy,1,5,14,139
Detective: A Modern Crime Board Game,Thematic,3.986705,5815,180,5815,Thematic,2018,Thematic,Thematic,1,5,16,140
Paths of Glory,Uncategorized,4.028685,4377,480,4377,Uncategorized,1999,Uncategorized,Uncategorized,2,2,14,141
Near and Far,Thematic,3.920135,6485,120,6485,Thematic,2017,Thematic,Thematic,2,4,13,142
Combat Commander: Europe,Uncategorized,3.97004,5218,180,5218,Uncategorized,2006,Uncategorized,Uncategorized,2,2,12,143
Captain Sonar,Party,3.79376,14989,60,14989,Party,2016,Party,Party,2,8,14,144
Village,Strategy,3.766515,19464,90,19464,Strategy,2011,Strategy,Strategy,2,4,12,145
Santorini,Family,3.76224,24584,20,24584,Family,2016,Family,Family,2,4,8,146
This War of Mine: The Board Game,Thematic,3.92833,7555,120,7555,Thematic,2017,Thematic,Thematic,1,6,18,147
Xia: Legends of a Drift System,Strategy,3.929265,6855,180,6855,Strategy,2014,Strategy,Strategy,3,5,12,148
Codenames: Duet,Family,3.80123,11911,30,11911,Family,2017,Family,Family,2,4,11,149
Ticket to Ride: Nordic Countries,Family,3.82025,11045,60,11045,Family,2007,Family,Family,2,3,8,150
Sagrada,Family,3.765245,22551,45,22551,Family,2017,Family,Family,1,4,14,151
Sekigahara: The Unification of Japan,Uncategorized,4.029175,4077,180,4077,Uncategorized,2011,Uncategorized,Uncategorized,2,2,14,152
Res Arcana,Strategy,3.91412,6617,60,6617,Strategy,2019,Strategy,Strategy,2,4,12,153
Arcadia Quest,Thematic,3.871305,8791,60,8791,Thematic,2014,Thematic,Thematic,2,4,13,154
Magic: The Gathering,Uncategorized,3.752905,31092,20,31092,Uncategorized,1993,Uncategorized,Uncategorized,2,2,13,155
La Granja,Strategy,3.84337,8110,120,8110,Strategy,2014,Strategy,Strategy,1,4,12,156
Splendor,Family,3.727415,54454,30,54454,Family,2014,Family,Family,2,4,10,157
Tichu,Strategy,3.792315,12927,60,12927,Strategy,1991,Strategy,Strategy,4,4,10,158
Star Realms: Colony Wars,Strategy,3.93823,5541,20,5541,Strategy,2015,Strategy,Strategy,2,2,12,159
Aeon's End: War Eternal,Strategy,4.22288,2637,60,2637,Strategy,2017,Strategy,Strategy,1,4,14,160
Legendary: A Marvel Deck Building Game,Thematic,3.79371,19021,60,19021,Thematic,2012,Thematic,Thematic,1,5,14,161
Go,Abstract,3.81738,14301,180,14301,Abstract,-2200,Abstract,Abstract,2,2,8,162
Goa,Strategy,3.795215,10832,90,10832,Strategy,2004,Strategy,Strategy,2,4,12,163
Zombicide: Black Plague,Thematic,3.848005,11804,180,11804,Thematic,2015,Thematic,Thematic,1,6,14,164
Rajas of the Ganges,Strategy,3.84583,7731,75,7731,Strategy,2017,Strategy,Strategy,2,4,12,165
Ticket to Ride,Family,3.71495,67987,60,67987,Family,2004,Family,Family,2,5,8,166
Kanban: Driver's Edition,Strategy,3.92671,5400,120,5400,Strategy,2014,Strategy,Strategy,2,4,12,167
The Princes of Florence,Strategy,3.76831,14434,100,14434,Strategy,2000,Strategy,Strategy,2,5,12,168
Ra,Strategy,3.73439,18617,60,18617,Strategy,1999,Strategy,Strategy,2,5,12,169
Steam,Strategy,3.80438,9373,90,9373,Strategy,2009,Strategy,Strategy,3,5,10,170
Coimbra,Strategy,3.85089,7332,90,7332,Strategy,2018,Strategy,Strategy,2,4,14,171
Cyclades,Strategy,3.761025,17129,90,17129,Strategy,2009,Strategy,Strategy,2,5,13,172
Carcassonne,Family,3.70942,96228,45,96228,Family,2000,Family,Family,2,5,7,173
Viticulture,Strategy,3.80375,9634,90,9634,Strategy,2013,Strategy,Strategy,2,6,13,174
Just One,Party,3.80683,8987,20,8987,Party,2018,Party,Party,3,7,8,175
Galaxy Trucker,Thematic,3.70821,28282,60,28282,Thematic,2007,Thematic,Thematic,2,4,10,176
Shogun,Strategy,3.77274,12551,120,12551,Strategy,2006,Strategy,Strategy,3,5,12,177
Secret Hitler,Party,3.787725,16300,45,16300,Party,2016,Party,Party,5,10,13,178
YINSH,Abstract,3.84464,7027,60,7027,Abstract,2003,Abstract,Abstract,2,2,9,179
Deception: Murder in Hong Kong,Party,3.752905,14672,20,14672,Party,2014,Party,Party,4,12,14,180
1830: Railways & Robber Barons,Strategy,3.943545,4510,360,4510,Strategy,1986,Strategy,Strategy,2,7,14,181
The Quest for El Dorado,Family,3.795155,9722,60,9722,Family,2017,Family,Family,2,4,10,182
Sushi Go Party!,Family,3.73631,19703,20,19703,Family,2016,Family,Family,2,8,8,183
Isle of Skye: From Chieftain to King,Strategy,3.72266,19016,50,19016,Strategy,2015,Strategy,Strategy,2,5,8,184
Cartographers: A Roll Player Tale,Family,3.877455,5981,45,5981,Family,2019,Family,Family,1,100,10,185
Lewis & Clark: The Expedition,Strategy,3.75174,12253,120,12253,Strategy,2013,Strategy,Strategy,1,5,14,186
Power Grid Deluxe: Europe/North America,Strategy,4.011505,3577,120,3577,Strategy,2014,Strategy,Strategy,2,6,12,187
Glory to Rome,Strategy,3.743205,12710,60,12710,Strategy,2005,Strategy,Strategy,2,5,12,188
Tyrants of the Underdark,Strategy,3.9484,4596,60,4596,Strategy,2016,Strategy,Strategy,2,4,14,189
Hero Realms,Strategy,3.80689,10991,30,10991,Strategy,2016,Strategy,Strategy,2,4,12,190
Imperial Settlers,Strategy,3.71651,20021,90,20021,Strategy,2014,Strategy,Strategy,1,4,10,191
Imperial,Strategy,3.808115,8146,180,8146,Strategy,2006,Strategy,Strategy,2,6,13,192
Flamme Rouge,Family,3.782285,10652,45,10652,Family,2016,Family,Family,2,4,8,193
Roll Player,Strategy,3.76098,11443,90,11443,Strategy,2016,Strategy,Strategy,1,4,10,194
Bora Bora,Strategy,3.78093,8860,120,8860,Strategy,2013,Strategy,Strategy,2,4,12,195
1960: The Making of the President,Strategy,3.79979,8298,120,8298,Strategy,2007,Strategy,Strategy,2,2,12,196
Dungeon Petz,Strategy,3.742125,12160,90,12160,Strategy,2011,Strategy,Strategy,2,4,13,197
Age of Empires III: The Age of Discovery,Strategy,3.77364,9736,120,9736,Strategy,2007,Strategy,Strategy,2,5,10,198
Seasons,Strategy,3.706715,19790,60,19790,Strategy,2012,Strategy,Strategy,2,4,14,199
Samurai,Strategy,3.722745,14393,60,14393,Strategy,1998,Strategy,Strategy,2,4,10,200
Hanamikoji,Family,3.77562,9476,15,9476,Family,2013,Family,Family,2,2,10,201
Dixit: Odyssey,Party,3.72909,15674,30,15674,Party,2011,Party,Party,3,12,8,202
Azul: Summer Pavilion,Family,3.933755,4380,45,4380,Family,2019,Family,Family,2,4,8,203
Space Alert,Thematic,3.72302,14446,30,14446,Thematic,2008,Thematic,Thematic,1,5,12,204
Exit: The Game – The Abandoned Cabin,Family,3.789645,7859,120,7859,Family,2016,Family,Family,1,6,12,205
Dead of Winter: The Long Night,Thematic,3.839965,7272,120,7272,Thematic,2016,Thematic,Thematic,2,5,14,206
The Isle of Cats,Strategy,4.052745,3537,90,3537,Strategy,2019,Strategy,Strategy,1,4,8,207
Fury of Dracula (Third/Fourth Edition),Thematic,3.764405,10562,180,10562,Thematic,2015,Thematic,Thematic,2,5,14,208
Century: Golem Edition,Strategy,3.862715,5857,45,5857,Strategy,2017,Strategy,Strategy,2,5,8,209
Summoner Wars: Master Set,Strategy,3.76296,10193,60,10193,Strategy,2011,Strategy,Strategy,2,4,9,210
Pax Pamir (Second Edition),Strategy,4.178255,2385,120,2385,Strategy,2019,Strategy,Strategy,1,5,13,211
Lords of Hellas,Strategy,3.948105,4925,90,4925,Strategy,2018,Strategy,Strategy,1,4,14,212
Kingdomino,Family,3.68182,28385,20,28385,Family,2016,Family,Family,2,4,8,213
Pulsar 2849,Strategy,3.87172,5397,90,5397,Strategy,2017,Strategy,Strategy,2,4,14,214
Runewars,Strategy,3.82099,7614,240,7614,Strategy,2010,Strategy,Strategy,2,4,14,215
Navegador,Strategy,3.77703,7813,90,7813,Strategy,2010,Strategy,Strategy,2,5,12,216
BattleLore (Second Edition),Uncategorized,3.883295,5444,90,5444,Uncategorized,2013,Uncategorized,Uncategorized,2,2,14,217
Battle Line,Strategy,3.708885,15198,30,15198,Strategy,2000,Strategy,Strategy,2,2,12,218
Hannibal: Rome vs. Carthage,Uncategorized,3.902645,4717,200,4717,Uncategorized,1996,Uncategorized,Uncategorized,2,2,12,219
Alien Frontiers,Strategy,3.7109,13826,90,13826,Strategy,2010,Strategy,Strategy,2,4,13,220
Indonesia,Strategy,3.925055,3904,240,3904,Strategy,2005,Strategy,Strategy,2,5,14,221
Rococo,Strategy,3.791335,7182,120,7182,Strategy,2013,Strategy,Strategy,2,5,12,222
Imperial 2030,Strategy,3.84753,5561,180,5561,Strategy,2009,Strategy,Strategy,2,6,12,223
Antiquity,Strategy,3.94762,3679,180,3679,Strategy,2004,Strategy,Strategy,2,4,14,224
Burgle Bros.,Family,3.782445,7815,90,7815,Family,2015,Family,Family,1,4,12,225
Mage Wars Arena,Uncategorized,3.829305,7226,90,7226,Uncategorized,2012,Uncategorized,Uncategorized,2,2,13,226
Modern Art,Strategy,3.69489,15957,45,15957,Strategy,1992,Strategy,Strategy,3,5,10,227
The Manhattan Project: Energy Empire,Strategy,3.895985,4476,120,4476,Strategy,2016,Strategy,Strategy,1,5,13,228
Above and Below,Thematic,3.726235,11999,90,11999,Thematic,2015,Thematic,Thematic,2,4,13,229
Onitama,Abstract,3.71013,13669,20,13669,Abstract,2014,Abstract,Abstract,2,2,8,230
Cthulhu Wars,Strategy,3.96222,4343,120,4343,Strategy,2015,Strategy,Strategy,2,4,14,231
Mysterium,Family,3.66479,29449,42,29449,Family,2015,Family,Family,2,7,10,232
Ethnos,Strategy,3.74549,8977,60,8977,Strategy,2017,Strategy,Strategy,2,6,14,233
Hive,Abstract,3.659285,28025,20,28025,Abstract,2000,Abstract,Abstract,2,2,9,234
Gloomhaven: Jaws of the Lion,Strategy,4.58575,1609,120,1609,Strategy,2020,Strategy,Strategy,1,4,14,235
Century: Spice Road,Strategy,3.68744,16958,45,16958,Strategy,2017,Strategy,Strategy,2,5,8,236
Sid Meier's Civilization: The Board Game,Strategy,3.7101,14107,240,14107,Strategy,2010,Strategy,Strategy,2,4,13,237
Dungeon Lords,Strategy,3.69874,12623,90,12623,Strategy,2009,Strategy,Strategy,2,4,12,238
Small World,Strategy,3.635675,59221,80,59221,Strategy,2009,Strategy,Strategy,2,5,8,239
Here I Stand,Uncategorized,3.963895,3492,360,3492,Uncategorized,2006,Uncategorized,Uncategorized,2,6,12,240
Horrified,Family,3.935945,4179,60,4179,Family,2019,Family,Family,1,5,10,241
Letters from Whitechapel,Strategy,3.70296,13173,60,13173,Strategy,2011,Strategy,Strategy,2,6,14,242
PARKS,Family,3.94758,4047,60,4047,Family,2019,Family,Family,1,5,10,243
Bruges,Strategy,3.71889,9857,60,9857,Strategy,2013,Strategy,Strategy,2,4,10,244
The Resistance,Party,3.64916,34780,30,34780,Party,2009,Party,Party,5,10,13,245
Tapestry,Strategy,3.74464,9186,120,9186,Strategy,2019,Strategy,Strategy,1,5,12,246
Arboretum,Family,3.70533,11528,30,11528,Family,2015,Family,Family,2,4,8,247
Merchants & Marauders,Thematic,3.711095,12345,180,12345,Thematic,2010,Thematic,Thematic,2,4,13,248
Space Base,Family,3.780175,6694,60,6694,Family,2018,Family,Family,2,5,14,249
Telestrations,Party,3.70204,11895,30,11895,Party,2009,Party,Party,4,8,12,250
Ghost Stories,Strategy,3.666185,18851,60,18851,Strategy,2008,Strategy,Strategy,1,4,12,251
Agricola: All Creatures Big and Small,Strategy,3.69757,11923,30,11923,Strategy,2012,Strategy,Strategy,2,2,13,252
Glass Road,Strategy,3.72659,8685,80,8685,Strategy,2013,Strategy,Strategy,1,4,13,253
Tikal,Strategy,3.671645,17432,90,17432,Strategy,1999,Strategy,Strategy,2,4,10,254
Mission: Red Planet (Second Edition),Strategy,3.73716,8381,90,8381,Strategy,2015,Strategy,Strategy,2,6,14,255
Star Wars: Armada,Thematic,3.93122,4383,120,4383,Thematic,2015,Thematic,Thematic,2,2,14,256
Dixit,Party,3.633525,47818,30,47818,Party,2008,Party,Party,3,6,8,257
Evolution: Climate,Strategy,3.830065,5613,60,5613,Strategy,2016,Strategy,Strategy,2,6,12,258
Acquire,Strategy,3.67201,17838,90,17838,Strategy,1964,Strategy,Strategy,2,6,12,259
Heaven & Ale,Strategy,3.80128,5719,90,5719,Strategy,2017,Strategy,Strategy,2,4,12,260
Tiny Epic Galaxies,Strategy,3.689265,14482,45,14482,Strategy,2015,Strategy,Strategy,1,5,14,261
Neuroshima Hex! 3.0,Strategy,3.70356,12871,30,12871,Strategy,2006,Strategy,Strategy,1,4,13,262
Vindication,Strategy,3.94481,3780,150,3780,Strategy,2018,Strategy,Strategy,2,5,14,263
