App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Hamburgum,Strategy,3.52843,3081,75,3081,Strategy,2007,Strategy,Strategy,2,5,12,896
Trains: Rising Sun,Strategy,3.74229,1669,45,1669,Strategy,2014,Strategy,Strategy,2,4,12,897
Bus,Strategy,3.72868,1706,120,1706,Strategy,1999,Strategy,Strategy,3,5,14,898
1889: History of Shikoku Railways,Strategy,4.03955,1001,210,1001,Strategy,2004,Strategy,Strategy,2,6,14,899
Hardback,Strategy,3.676475,1991,90,1991,Strategy,2018,Strategy,Strategy,1,5,10,900
Menara,Family,3.738835,1733,60,1733,Family,2018,Family,Family,1,4,8,901
Hansa,Strategy,3.439185,4885,60,4885,Strategy,2004,Strategy,Strategy,2,4,10,902
La Isla,Strategy,3.44687,4748,60,4748,Strategy,2014,Strategy,Strategy,2,4,10,903
Strasbourg,Strategy,3.585965,2448,60,2448,Strategy,2011,Strategy,Strategy,3,5,12,904
Cooper Island,Strategy,3.858015,1377,120,1377,Strategy,2019,Strategy,Strategy,2,4,12,905
Escape Room: The Game,Family,3.549075,2918,60,2918,Family,2016,Family,Family,3,5,16,906
Duelosaur Island,Strategy,3.64814,2202,45,2202,Strategy,2018,Strategy,Strategy,2,2,10,907
Riverboat,Strategy,3.75244,1622,90,1622,Strategy,2017,Strategy,Strategy,2,4,10,908
Planet Steam,Strategy,3.575075,2691,180,2691,Strategy,2008,Strategy,Strategy,2,5,14,909
Luxor,Family,3.634025,2258,45,2258,Family,2018,Family,Family,2,4,8,910
Jaws,Thematic,3.715865,2052,60,2052,Thematic,2019,Thematic,Thematic,2,4,12,911
Catan Card Game,Strategy,3.36185,12738,120,12738,Strategy,1996,Strategy,Strategy,2,2,10,912
Call to Adventure,Thematic,3.662545,2441,60,2441,Thematic,2019,Thematic,Thematic,1,4,9,913
Julius Caesar,Uncategorized,3.884965,1334,120,1334,Uncategorized,2010,Uncategorized,Uncategorized,2,2,12,914
Keythedral,Strategy,3.531935,2948,90,2948,Strategy,2002,Strategy,Strategy,2,5,8,915
Zombie Kidz Evolution,Family,3.99793,1194,15,1194,Family,2018,Family,Family,2,4,7,916
Mission: Red Planet,Strategy,3.459705,4059,60,4059,Strategy,2005,Strategy,Strategy,3,5,10,917
Ultimate Werewolf: Ultimate Edition,Party,3.5167,3672,90,3672,Party,2008,Party,Party,5,68,8,918
Hacienda,Strategy,3.472065,3984,90,3984,Strategy,2005,Strategy,Strategy,2,5,10,919
Quarto,Abstract,3.432025,5541,20,5541,Abstract,1991,Abstract,Abstract,2,2,8,920
Trismegistus: The Ultimate Formula,Strategy,3.83427,1542,120,1542,Strategy,2019,Strategy,Strategy,1,4,14,921
Mandala,Family,3.878885,1301,20,1301,Family,2019,Family,Family,2,2,10,922
Three Kingdoms Redux,Strategy,3.96422,1131,165,1131,Strategy,2014,Strategy,Strategy,3,3,14,923
The Golden Ages,Strategy,3.64489,2074,90,2074,Strategy,2014,Strategy,Strategy,2,4,12,924
Herbaceous,Family,3.555715,2966,20,2966,Family,2017,Family,Family,1,4,8,925
Merchant of Venus,Strategy,3.57686,2623,180,2623,Strategy,1988,Strategy,Strategy,1,6,12,926
GIPF,Abstract,3.55242,2853,60,2853,Abstract,1996,Abstract,Abstract,2,2,9,927
Carcassonne: South Seas,Family,3.552755,2926,35,2926,Family,2013,Family,Family,2,5,8,928
Fairy Tale,Strategy,3.36716,8335,30,8335,Strategy,2004,Strategy,Strategy,2,5,10,929
Liberté,Strategy,3.56979,2573,90,2573,Strategy,1998,Strategy,Strategy,3,6,14,930
Fief: France 1429,Strategy,3.729805,1903,240,1903,Strategy,2015,Strategy,Strategy,3,6,13,931
Chimera Station,Strategy,3.660275,1980,90,1980,Strategy,2017,Strategy,Strategy,2,4,13,932
Colossal Arena,Strategy,3.38831,6891,60,6891,Strategy,1997,Strategy,Strategy,2,5,8,933
Kraftwagen,Strategy,3.63902,2023,75,2023,Strategy,2015,Strategy,Strategy,2,4,10,934
Santiago de Cuba,Strategy,3.46107,4103,75,4103,Strategy,2011,Strategy,Strategy,2,4,10,935
Guildhall,Strategy,3.46975,3827,45,3827,Strategy,2012,Strategy,Strategy,2,4,10,936
Catacombs,Thematic,3.54687,2847,60,2847,Thematic,2010,Thematic,Thematic,2,5,12,937
A Game of Thrones: The Card Game,Strategy,3.42918,5918,120,5918,Strategy,2008,Strategy,Strategy,2,4,12,938
New York 1901,Family,3.42356,5199,60,5199,Family,2015,Family,Family,2,4,8,939
The Prodigals Club,Strategy,3.65832,1931,100,1931,Strategy,2015,Strategy,Strategy,2,5,14,940
Java,Strategy,3.506,3280,120,3280,Strategy,2000,Strategy,Strategy,2,4,12,941
Cleopatra and the Society of Architects,Strategy,3.4029,6179,60,6179,Strategy,2006,Strategy,Strategy,3,5,10,942
Dead Men Tell No Tales,Strategy,3.573055,2781,75,2781,Strategy,2015,Strategy,Strategy,2,5,13,943
